Longitude,Latitude,Qreq,State
-75.334,38.376,0.0,Virginia
-75.405,38.114,0.0,Virginia
-75.673,38.43,0.0,Virginia
-75.743,38.168,0.0,Virginia
-75.881,37.643,0.0,Virginia
-75.892,36.299,0.0,Virginia
-75.95,37.381,0.0,Virginia
-76.285,37.434,0.0,Virginia
-76.421,38.274,0.0,Virginia
-76.443,36.387,0.0,Virginia
-76.484,36.646,0.0,Virginia
-76.488,38.011,0.0,Virginia
-76.555,37.749,0.0,Virginia
-76.621,37.486,0.0,Virginia
-76.628,38.851,0.0,Virginia
-76.687,37.223,0.0,Virginia
-76.695,38.588,0.0,Virginia
-76.752,36.96,0.0,Virginia
-76.761,38.325,0.0,Virginia
-76.816,36.697,0.0,Virginia
-76.827,38.063,0.0,Virginia
-76.881,36.435,0.0,Virginia
-76.892,37.8,0.0,Virginia
-76.905,39.164,0.0,Virginia
-76.944,36.172,0.0,Virginia
-76.957,37.537,0.0,Virginia
-76.971,38.902,0.0,Virginia
-77.022,37.274,0.0,Virginia
-77.022,38.073,0.0,Virginia
-77.036,38.639,0.0,Virginia
-77.066,37.898,0.0,Virginia
-77.086,37.011,0.0,Virginia
-77.109,37.722,0.0,Virginia
-77.149,36.748,0.0,Virginia
-77.151,37.547,0.0,Virginia
-77.184,39.478,0.0,Virginia
-77.194,37.372,0.0,Virginia
-77.206,38.282,0.0,Virginia
-77.212,36.485,0.0,Virginia
-77.236,37.196,0.0,Virginia
-77.249,38.106,0.0,Virginia
-77.249,39.215,0.0,Virginia
-77.275,36.222,0.0,Virginia
-77.291,37.931,0.0,Virginia
-77.314,38.952,0.0,Virginia
-77.334,37.756,0.0,Virginia
-77.376,37.58,0.0,Virginia
-77.378,38.689,0.0,Virginia
-77.39,38.49,0.0,Virginia
-77.418,37.405,0.0,Virginia
-77.433,38.315,0.0,Virginia
-77.46,37.229,0.0,Virginia
-77.475,38.139,0.0,Virginia
-77.483,36.797,0.0,Virginia
-77.501,37.054,0.0,Virginia
-77.517,37.964,0.0,Virginia
-77.53,39.527,0.0,Virginia
-77.539,37.699,11.1038688,Virginia
-77.545,36.534,0.0,Virginia
-77.567,37.585,12.49867433,Virginia
-77.594,37.471,9.62443128,Virginia
-77.594,39.264,0.0,Virginia
-77.606,36.271,0.0,Virginia
-77.618,38.523,0.0,Virginia
-77.657,39.001,0.0,Virginia
-77.659,37.835,16.8238877,Virginia
-77.66,38.347,0.0,Virginia
-77.684,37.262,0.0,Virginia
-77.686,37.721,21.97304258,Virginia
-77.701,38.172,0.0,Virginia
-77.713,37.606,24.59073495,Virginia
-77.721,38.737,0.0,Virginia
-77.725,37.086,0.0,Virginia
-77.74,37.492,19.83258139,Virginia
-77.766,37.378,12.82474375,Virginia
-77.779,37.97,13.58464349,Virginia
-77.805,37.856,23.9264023,Virginia
-77.817,36.846,0.0,Virginia
-77.832,37.741,30.7451875,Virginia
-77.845,38.555,0.0,Virginia
-77.859,37.627,35.99921949,Virginia
-77.876,39.576,0.0,Virginia
-77.877,36.583,0.0,Virginia
-77.886,37.513,28.88257957,Virginia
-77.887,38.379,0.0,Virginia
-77.908,37.294,8.871153424,Virginia
-77.912,37.399,19.83678039,Virginia
-77.926,37.99,15.59341247,Virginia
-77.928,38.204,0.0,Virginia
-77.938,36.319,0.0,Virginia
-77.939,39.312,0.0,Virginia
-77.948,37.119,0.0,Virginia
-77.952,37.876,26.22595197,Virginia
-77.979,37.762,35.06035835,Virginia
-77.989,36.943,0.0,Virginia
-78.002,39.049,0.0,Virginia
-78.005,37.648,36.98647748,Virginia
-78.032,37.534,31.99306081,Virginia
-78.058,37.42,21.05813806,Virginia
-78.064,38.785,0.0,Virginia
-78.073,38.011,13.93367829,Virginia
-78.073,38.587,0.0,Virginia
-78.099,37.897,23.59133918,Virginia
-78.114,38.411,0.0,Virginia
-78.125,37.783,30.05771166,Virginia
-78.151,36.894,0.0,Virginia
-78.152,37.669,32.24492341,Virginia
-78.155,38.236,0.0,Virginia
-78.172,37.15,0.0,Virginia
-78.178,37.554,26.9296353,Virginia
-78.196,38.06,7.882732348,Virginia
-78.204,37.44,18.15414555,Virginia
-78.21,36.63,0.0,Virginia
-78.212,36.974,0.0,Virginia
-78.223,39.623,0.0,Virginia
-78.246,37.917,16.06634159,Virginia
-78.27,36.367,0.0,Virginia
-78.272,37.803,21.05786974,Virginia
-78.285,39.359,0.0,Virginia
-78.298,37.689,22.72481178,Virginia
-78.302,38.618,0.0,Virginia
-78.324,37.575,19.90151763,Virginia
-78.329,36.103,0.0,Virginia
-78.342,38.443,0.0,Virginia
-78.346,39.096,0.0,Virginia
-78.35,37.461,12.98436851,Virginia
-78.356,37.357,6.096095956,Virginia
-78.382,38.267,0.0,Virginia
-78.396,37.181,0.0,Virginia
-78.407,38.832,0.0,Virginia
-78.419,37.823,11.9518681,Virginia
-78.422,38.091,0.0,Virginia
-78.435,37.006,0.0,Virginia
-78.445,37.709,12.6517931,Virginia
-78.462,37.915,6.567284778,Virginia
-78.467,38.569,0.0,Virginia
-78.485,36.941,0.0,Virginia
-78.502,37.74,8.836649775,Virginia
-78.541,37.564,6.102898178,Virginia
-78.544,36.677,0.0,Virginia
-78.57,38.473,0.0,Virginia
-78.57,39.67,0.0,Virginia
-78.581,37.388,0.0,Virginia
-78.602,36.413,0.0,Virginia
-78.61,38.298,0.0,Virginia
-78.62,37.212,0.0,Virginia
-78.631,39.406,0.0,Virginia
-78.649,38.122,0.0,Virginia
-78.659,37.036,0.0,Virginia
-78.66,36.149,0.0,Virginia
-78.688,37.946,0.0,Virginia
-78.691,39.142,0.0,Virginia
-78.728,37.77,0.0,Virginia
-78.751,38.878,0.0,Virginia
-78.767,37.594,0.0,Virginia
-78.805,37.419,0.0,Virginia
-78.81,38.615,0.0,Virginia
-78.821,36.986,0.0,Virginia
-78.844,37.243,0.0,Virginia
-78.869,38.351,0.0,Virginia
-78.876,38.152,0.0,Virginia
-78.878,36.722,0.0,Virginia
-78.915,37.976,0.0,Virginia
-78.935,36.458,0.0,Virginia
-78.954,37.8,0.0,Virginia
-78.992,36.194,0.0,Virginia
-78.992,37.625,0.0,Virginia
-79.03,37.449,0.0,Virginia
-79.036,39.187,0.0,Virginia
-79.068,37.273,0.0,Virginia
-79.095,38.923,0.0,Virginia
-79.153,38.66,0.0,Virginia
-79.156,37.031,0.0,Virginia
-79.21,38.396,0.0,Virginia
-79.212,36.767,0.0,Virginia
-79.218,37.654,0.0,Virginia
-79.255,37.478,0.0,Virginia
-79.267,38.132,0.0,Virginia
-79.268,36.503,0.0,Virginia
-79.324,36.239,0.0,Virginia
-79.324,37.868,0.0,Virginia
-79.38,37.603,0.0,Virginia
-79.439,38.968,0.0,Virginia
-79.481,37.507,0.0,Virginia
-79.496,38.703,0.0,Virginia
-79.518,37.331,0.0,Virginia
-79.547,36.811,0.0,Virginia
-79.552,38.439,0.0,Virginia
-79.555,37.155,0.0,Virginia
-79.591,36.979,0.0,Virginia
-79.602,36.547,0.0,Virginia
-79.608,38.175,0.0,Virginia
-79.656,36.282,0.0,Virginia
-79.664,37.911,0.0,Virginia
-79.669,37.712,0.0,Virginia
-79.706,37.536,0.0,Virginia
-79.743,37.36,0.0,Virginia
