Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-130.04,55.96,0,0,Alaska
-130.202,55.375,0,0,Alaska
-130.266,55.739,0,0,Alaska
-130.313,55.607,0,0,Alaska
-130.349,55.227,0,0,Alaska
-130.435,56.087,0,0,Alaska
-130.461,55.459,0,0,Alaska
-130.495,55.079,0,0,Alaska
-130.608,55.311,0,0,Alaska
-130.64,54.931,0,0,Alaska
-130.66,55.865,0,0,Alaska
-130.723,55.542,0,0,Alaska
-130.754,55.162,0,0,Alaska
-130.834,56.214,0,0,Alaska
-130.869,55.394,0,0,Alaska
-130.883,55.642,0,0,Alaska
-130.899,55.014,0,0,Alaska
-130.954,56.007,0,0,Alaska
-130.985,55.626,0,0,Alaska
-131.072,56.239,0,0,Alaska
-131.131,55.477,0,0,Alaska
-131.221,56.09,0,0,Alaska
-131.249,55.708,0,0,Alaska
-131.276,55.327,0,0,Alaska
-131.298,54.945,0,0,Alaska
-131.34,56.322,0,0,Alaska
-131.395,55.559,0,0,Alaska
-131.419,55.178,0,0,Alaska
-131.488,56.173,0,0,Alaska
-131.539,55.409,0,0,Alaska
-131.561,55.028,0,0,Alaska
-131.61,56.405,0,0,Alaska
-131.636,56.023,0,0,Alaska
-131.659,55.641,0,0,Alaska
-131.758,56.255,0,0,Alaska
-131.808,55.308,0,0,Alaska
-131.881,56.487,0,0,Alaska
-131.904,56.104,0,0,Alaska
-131.925,55.722,0,0,Alaska
-132.006,56.719,0,0,Alaska
-132.028,56.336,0,0,Alaska
-132.068,55.571,0,0,Alaska
-132.086,55.189,0,0,Alaska
-132.102,54.808,0,0,Alaska
-132.132,56.952,0,0,Alaska
-132.154,56.569,0,0,Alaska
-132.174,56.186,0,0,Alaska
-132.225,55.038,0,0,Alaska
-132.259,57.185,0,0,Alaska
-132.281,56.801,0,0,Alaska
-132.301,56.418,0,0,Alaska
-132.319,56.035,0,0,Alaska
-132.343,55.147,0,0,Alaska
-132.352,54.898,0,0,Alaska
-132.409,57.034,0,0,Alaska
-132.425,55.297,0,0,Alaska
-132.428,56.65,0,0,Alaska
-132.433,55.048,0,0,Alaska
-132.446,56.266,0,0,Alaska
-132.515,55.198,0,0,Alaska
-132.523,54.95,0,0,Alaska
-132.538,57.266,0,0,Alaska
-132.557,56.882,0,0,Alaska
-132.59,56.115,0,0,Alaska
-132.604,55.732,0,0,Alaska
-132.616,55.349,0,0,Alaska
-132.669,57.499,0,0,Alaska
-132.687,57.114,0,0,Alaska
-132.688,55.25,0,0,Alaska
-132.719,56.346,0,0,Alaska
-132.732,55.963,0,0,Alaska
-132.744,55.58,0,0,Alaska
-132.771,55.4,0,0,Alaska
-132.775,56.689,0,0,Alaska
-132.801,57.732,0,0,Alaska
-132.819,57.347,0,0,Alaska
-132.835,56.963,0,0,Alaska
