Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-86.899,41.561,0.0,0.0,Illinois
-87.095,39.495,0.0,0.0,Illinois
-87.114,39.317,0.0,0.0,Illinois
-87.149,39.162,0.0,0.0,Illinois
-87.161,39.047,0.0,0.0,Illinois
-87.174,38.931,0.0,0.0,Illinois
-87.186,38.815,0.0,0.0,Illinois
-87.198,38.7,0.0,0.0,Illinois
-87.211,38.584,0.0,0.0,Illinois
-87.223,38.469,0.0,0.0,Illinois
-87.235,38.353,0.0,0.0,Illinois
-87.261,41.584,0.0,0.0,Illinois
-87.272,40.043,0.0,0.0,Illinois
-87.29,41.316,0.0,0.0,Illinois
-87.291,39.865,0.0,0.0,Illinois
-87.3,39.172,0.0,0.0,Illinois
-87.31,39.687,0.0,0.0,Illinois
-87.312,39.056,0.0,0.0,Illinois
-87.319,41.049,0.0,0.0,Illinois
-87.325,38.94,0.0,0.0,Illinois
-87.329,39.509,0.0,0.0,Illinois
-87.337,38.825,0.0,0.0,Illinois
-87.348,39.331,0.0,0.0,Illinois
-87.348,40.782,0.0,0.0,Illinois
-87.349,38.709,0.0,0.0,Illinois
-87.361,38.594,0.0,0.0,Illinois
-87.373,38.478,0.0,0.0,Illinois
-87.377,40.515,0.0,0.0,Illinois
-87.385,38.362,0.0,0.0,Illinois
-87.397,38.247,0.0,0.0,Illinois
-87.405,40.248,0.0,0.0,Illinois
-87.409,38.131,0.0,0.0,Illinois
-87.439,39.297,0.0,0.0,Illinois
-87.451,39.181,0.0,0.0,Illinois
-87.463,39.065,0.0,0.0,Illinois
-87.475,38.95,0.0,0.0,Illinois
-87.487,38.834,0.0,0.0,Illinois
-87.499,38.718,0.0,0.0,Illinois
-87.507,40.057,0.0,0.0,Illinois
-87.511,38.603,0.0,0.0,Illinois
-87.523,38.487,0.0,0.0,Illinois
-87.526,39.879,0.0,0.0,Illinois
-87.535,38.372,0.0,0.0,Illinois
-87.544,39.701,0.0,0.0,Illinois
-87.547,38.256,0.0,0.0,Illinois
-87.558,38.14,0.0,0.0,Illinois
-87.563,39.523,0.0,0.0,Illinois
-87.57,38.025,0.0,0.0,Illinois
-87.582,37.909,0.0,0.0,Illinois
-87.591,39.306,0.0,0.0,Illinois
-87.593,37.793,0.0,0.0,Illinois
-87.603,39.19,0.0,0.0,Illinois
-87.605,37.678,0.0,0.0,Illinois
-87.615,39.074,0.0,0.0,Illinois
-87.616,37.562,0.0,0.0,Illinois
-87.622,41.605,0.0,0.0,Illinois
-87.626,38.959,0.0,0.0,Illinois
-87.628,37.446,0.0,0.0,Illinois
-87.638,38.843,0.0,0.0,Illinois
-87.65,38.728,0.0,0.0,Illinois
-87.65,41.338,0.0,0.0,Illinois
-87.661,38.612,0.0,0.0,Illinois
-87.673,38.496,0.0,0.0,Illinois
-87.678,41.071,0.0,0.0,Illinois
-87.685,38.381,0.0,0.0,Illinois
-87.696,38.265,0.0,0.0,Illinois
-87.705,40.803,0.0,0.0,Illinois
-87.708,38.149,0.0,0.0,Illinois
-87.719,38.034,0.0,0.0,Illinois
-87.731,37.918,0.0,0.0,Illinois
-87.733,40.536,0.0,0.0,Illinois
-87.742,37.802,0.0,0.0,Illinois
-87.743,39.315,0.0,0.0,Illinois
-87.743,40.071,0.0,0.0,Illinois
-87.753,37.687,0.0,0.0,Illinois
-87.754,39.199,0.0,0.0,Illinois
-87.76,40.269,0.0,0.0,Illinois
-87.761,39.893,0.0,0.0,Illinois
-87.765,37.571,0.0,0.0,Illinois
-87.766,39.083,0.0,0.0,Illinois
-87.776,37.455,0.0,0.0,Illinois
-87.777,38.968,0.0,0.0,Illinois
-87.779,39.715,0.0,0.0,Illinois
-87.787,37.34,0.0,0.0,Illinois
-87.789,38.852,0.0,0.0,Illinois
-87.797,39.537,0.0,0.0,Illinois
-87.798,37.224,0.0,0.0,Illinois
-87.8,38.736,0.0,0.0,Illinois
-87.812,38.621,0.0,0.0,Illinois
-87.815,39.359,0.0,0.0,Illinois
-87.823,38.505,0.0,0.0,Illinois
-87.834,38.389,0.0,0.0,Illinois
-87.846,38.274,0.0,0.0,Illinois
-87.857,38.158,0.0,0.0,Illinois
-87.868,38.042,0.0,0.0,Illinois
-87.875,42.695,0.0,0.0,Illinois
-87.879,37.927,0.0,0.0,Illinois
-87.891,37.811,0.0,0.0,Illinois
-87.894,39.323,0.0,0.0,Illinois
-87.902,37.695,0.0,0.0,Illinois
-87.902,42.428,0.0,0.0,Illinois
-87.906,39.208,0.0,0.0,Illinois
-87.913,37.58,0.0,0.0,Illinois
-87.917,39.092,0.0,0.0,Illinois
-87.924,37.464,0.0,0.0,Illinois
-87.928,38.976,0.0,0.0,Illinois
-87.93,42.16,0.0,0.0,Illinois
-87.935,37.348,0.0,0.0,Illinois
-87.94,38.861,0.0,0.0,Illinois
-87.946,37.233,0.0,0.0,Illinois
-87.951,38.745,0.0,0.0,Illinois
-87.957,41.893,0.0,0.0,Illinois
-87.957,37.117,0.0,0.0,Illinois
-87.962,38.629,0.0,0.0,Illinois
-87.973,38.514,0.0,0.0,Illinois
-87.979,40.084,0.0,0.0,Illinois
-87.984,41.625,0.0,0.0,Illinois
-87.984,38.398,0.0,0.0,Illinois
-87.995,38.282,0.0,0.0,Illinois
-87.996,39.906,0.0,0.0,Illinois
-88.006,38.167,0.0,0.0,Illinois
-88.01,41.358,0.0,0.0,Illinois
-88.014,39.728,0.0,0.0,Illinois
-88.017,38.051,0.0,0.0,Illinois
-88.028,37.935,0.0,0.0,Illinois
-88.031,39.55,0.0,0.0,Illinois
-88.037,41.091,0.0,0.0,Illinois
-88.039,37.82,0.0,0.0,Illinois
-88.048,39.372,0.0,0.0,Illinois
