Longitude,Latitude,D (m),log(d)
-123.899,41.549,12.71078,1.1041722019546332
-123.7,41.557,8.23903,0.9158760842159556
-124.052,41.551,17.00726,1.230634351076904
-123.853,41.559,11.53945,1.0621851097159565
-123.654,41.568,7.38068,0.8680963762733113
-124.205,41.552,22.5453,1.3530560186391618
-124.006,41.561,15.50952,1.190598357157442
-123.807,41.57,10.42528,1.0180877279932226
-123.608,41.578,6.55478,0.8165581199178804
-124.159,41.563,20.64101,1.3147309442485318
-123.96,41.572,14.15943,1.1510457708087471
-123.761,41.581,9.38829,0.972586496292398
-124.312,41.565,25.34003,1.4038071247079096
-124.113,41.574,18.92318,1.2769941204592283
-123.914,41.583,12.88477,1.1100766705685412
-123.715,41.591,8.39792,0.9241717331592632
-124.265,41.576,25.00946,1.3981043146192649
-124.067,41.585,17.21051,1.2357937399907806
-123.868,41.593,11.70659,1.0684304083214091
-124.418,41.577,26.49504,1.423164579512404
-123.669,41.602,7.50733,0.875485506585592
-124.219,41.586,22.84741,1.358836975239081
-124.02,41.595,15.71366,1.196277351983032
-123.821,41.604,10.58726,1.024783578535265
-124.372,41.588,25.87587,1.4128949605846792
-123.622,41.613,6.69055,0.8254618206298402
-124.173,41.597,20.87739,1.3196762041267782
-123.974,41.606,14.33964,1.1565382484045832
-123.775,41.615,9.54031,0.9795624867692976
-124.326,41.599,25.39527,1.4047528345651583
-124.127,41.608,19.15064,1.282183292342446
-123.928,41.617,13.06259,1.1160292957130216
-124.479,41.6,26.62293,1.4252558502674142
-123.729,41.625,8.55147,0.9320407764841468
-124.28,41.61,25.05362,1.398870485989263
-124.081,41.619,17.41722,1.240978837525403
-123.882,41.628,11.87909,1.074783172706148
-124.433,41.611,26.61035,1.4250505867674366
-123.683,41.636,7.63332,0.8827134690265815
-124.234,41.62,23.15417,1.3646292175959185
-124.035,41.63,15.92432,1.202060896168896
-123.836,41.638,10.75366,1.0315563012076694
-124.387,41.622,25.9818,1.4146692353816572
-123.637,41.647,6.82155,0.8338830667332366
-124.188,41.631,21.11537,1.3245986958746103
-123.989,41.64,14.52468,1.162106573023463
-124.54,41.623,26.62155,1.4252333380225708
-123.79,41.649,9.69236,0.9864295366158912
-124.341,41.633,25.47795,1.4061644809825973
-124.142,41.642,19.36641,1.2870491219225266
-123.943,41.651,13.24346,1.1220014641518066
-124.494,41.634,26.62206,1.4252416579011733
-123.744,41.66,8.70784,0.9399104406084358
-124.295,41.644,25.10984,1.399843945395579
-124.096,41.653,17.63548,1.2463872847301516
-123.897,41.662,12.0522,1.081066329952505
-124.448,41.645,26.63999,1.4255340574747788
-123.697,41.67,7.76092,0.8899132067273254
-124.249,41.655,23.47171,1.3705447306940868
-124.05,41.664,16.12433,1.20748167782835
-123.85,41.672,10.92151,1.0382826877580436
-124.402,41.656,26.07481,1.416221152525138
-123.651,41.681,6.95488,0.8422896410444668
-124.203,41.665,21.37297,1.3298648761644267
-124.003,41.674,14.71446,1.1677443287310132
-124.555,41.657,26.63757,1.4254946039920393
-123.804,41.683,9.84948,0.9934133026710252
-124.356,41.667,25.54486,1.4073035268501837
-124.156,41.676,19.55952,1.2913581927875148
-123.957,41.685,13.43086,1.1281038221472328
-124.509,41.668,26.64485,1.4256132796771126
-123.758,41.694,8.86342,0.9476013291712594
-124.309,41.678,25.17672,1.4009991499701373
-124.11,41.687,17.86844,1.2520866381818965
-123.911,41.696,12.22813,1.087360047160899
-124.463,41.679,26.65106,1.4257144870209717
-123.712,41.704,7.89003,0.897078654516098
-124.263,41.689,23.81355,1.376824142590405
-124.064,41.698,16.32396,1.2128255219135
-124.616,41.68,26.64345,1.4255904599483988
-123.865,41.707,11.09028,1.0449425110652872
-124.416,41.69,26.18076,1.4179822495109744
-123.666,41.715,7.08556,0.8503741799608803
-124.217,41.699,21.63473,1.3351514796021429
-124.018,41.708,14.91262,1.1735539514061868
-124.569,41.691,26.6589,1.4258422255809955
-123.819,41.717,10.00512,1.0002223018703107
-124.37,41.701,25.63965,1.4089120924495044
-124.171,41.71,19.81409,1.2969741313230607
-123.972,41.719,13.62013,1.1341812528053423
-124.523,41.702,26.65958,1.4258533031753946
-123.772,41.728,9.01723,0.9550731472459452
-124.324,41.712,25.23204,1.4019523644663394
-124.125,41.721,18.09551,1.2575708276798925
-124.676,41.703,26.65925,1.425847927319284
-123.926,41.73,12.40011,1.0934255377574864
-124.477,41.713,26.65379,1.4257589716761814
-123.726,41.739,8.01591,0.9039528324349974
-124.278,41.723,24.1616,1.383125690220745
-124.079,41.732,16.52998,1.2182723281089616
-124.63,41.714,26.65852,1.4258360350375248
-123.879,41.741,11.25485,1.0513397112773304
-124.431,41.724,26.29369,1.4198515383385415
-123.68,41.749,7.21209,0.8580611376648248
-124.232,41.733,21.89696,1.3403838250288116
-124.033,41.743,15.10375,1.179084788492723
-124.584,41.725,26.67279,1.426068445694779
-123.833,41.751,10.16397,1.0070633745155135
-124.385,41.735,25.71603,1.4102039237322774
-124.186,41.744,20.06948,1.3025361200681416
-123.986,41.753,13.80421,1.1400115574832193
-124.538,41.736,26.67529,1.4261091495478715
-123.787,41.762,9.16418,0.9620936108795394
-124.339,41.746,25.28644,1.4028876906656789
-124.14,41.755,18.31618,1.2628349028520904
-124.691,41.737,26.66954,1.4260155249817943
-123.94,41.764,12.56833,1.0992775752223616
-124.492,41.747,26.67774,1.4261490356229989
-123.741,41.773,8.17352,0.912409129647624
-124.293,41.757,24.49015,1.388991445148103
-124.093,41.766,16.7311,1.223524494950773
-124.645,41.748,26.67782,1.4261503379636935
-123.894,41.775,11.41887,1.0576231286868911
-124.446,41.758,26.38864,1.4214170084195517
-123.694,41.783,7.34039,0.8657191348954113
-124.247,41.768,22.13601,1.3450993423265998
-124.047,41.777,15.29748,1.1846198940703327
-124.599,41.759,26.67876,1.4261656401743317
-123.848,41.785,10.32746,1.0139935215558695
-124.4,41.769,25.77236,1.4111541891387478
-124.2,41.778,20.2866,1.3072092661082844
-124.752,41.76,26.67468,1.4260992181595702
-124.001,41.787,13.9932,1.1459170413985538
-124.553,41.77,26.67145,1.4260466268590106
-123.801,41.796,9.31782,0.9693143165691882
-124.354,41.78,25.33843,1.403779701965732
-124.154,41.789,18.53308,1.2679476004224293
-124.706,41.771,26.67793,1.426152128675773
-123.955,41.798,12.74075,1.1051949940334178
-124.507,41.781,26.68522,1.4262707875927512
-123.755,41.807,8.33231,0.9207654193151836
-124.307,41.791,24.84203,1.395187081914204
-124.108,41.8,16.93816,1.228866230950501
-124.66,41.782,26.68289,1.426232865839724
-123.908,41.809,11.58717,1.0639773787193427
-124.461,41.792,26.50198,1.4232783218972265
-123.709,41.817,7.46747,0.8731734865342002
-124.261,41.802,22.41871,1.3506106191421037
-124.062,41.811,15.49596,1.1902184866603511
-124.614,41.793,26.68874,1.4263280708289403
-123.862,41.82,10.49017,1.0207825262739858
-124.415,41.803,25.86811,1.4127646990468217
-124.215,41.812,20.51748,1.3121240187545322
-124.767,41.794,26.69003,1.4263490619413906
-124.015,41.821,14.17071,1.1513916103997088
-124.568,41.804,26.68932,1.4263375088189876
-123.816,41.83,9.46687,0.9762064133833228
-124.368,41.814,25.40999,1.4050044941355455
-124.169,41.823,18.76595,1.273370554856988
-124.721,41.805,26.68896,1.426331650780344
